,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Número de empregados (Pessoas),76598,77899,71607,75104,77214,85494,89550,98274,105637,109900
Masculino,55541,54909,53331,54824,56240,61260,63944,69944,73113,75726
Feminino,21057,22990,18276,20280,20974,24234,25606,28330,32524,34174
Fundamental incompleto,6211,6455,4701,4297,4182,4225,2194,2311,4879,4661
Fundamental completo,8716,8176,5687,5614,5352,5515,5459,5548,4834,4593
Ensino médio incompleto,5493,5039,4188,4465,4475,4927,5066,5454,4717,5127
Ensino médio completo,46204,46365,45670,47310,49118,54961,59009,65567,66928,70977
Superior incompleto,3083,3210,3066,3323,3480,3925,3886,4637,5450,16691
Superior completo,6891,7684,8295,9465,10039,11373,11400,12204,16781,5847
