,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Faturamento bruto (R$ bilhões),,,,,,,,,,,,,"13,8","15,5","15,3","21,8","17,6","23,5","36,8","44,9","52,9","61,7"
Faturamento líquido (R$ bilhões),"2,68","2,91","3,17","3,49","3,99","4,37","5,11","5,67","6,23","6,52","14,7","16,2","12,1","13,5","13,9","19,0","15,3","20,6","32,1","39,2","46,2","53,9"
