,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Total de usuários (Milhões),"23,2","27,2","43,0","49,6","44,6","50,1","69,3","75,8","79,7","82,3"
GTF - Gestão e Terceirização de Frota,"58,00%","58,00%","52,00%","52,00%","52,00%","52,00%","52,00%","52,00%","54,00%","54,00%"
RAC - Rent a Car,"42,00%","42,00%","48,00%","48,00%","48,00%","48,00%","48,00%","48,00%","46,00%","46,00%"
Turismo de Lazer,"25,00%","23,00%","27,00%","26,00%","32,00%","32,00%","32,00%","32,00%",,
Turismo de Negócios,"17,00%","19,00%","21,00%","22,00%","16,00%","16,00%","16,00%","16,00%",,
